"","g","aRH","aHP","hRH","hHP","mH","mP","dR","dH","dP","K"
"1",1,0.1,0.1,0,10,0.04,0.08,5,0.01,0.1,20
"2",1,0.1,0.1,0,10,0.04,0.08,5,0.016551724137931,0.1,20
"3",1,0.1,0.1,0,10,0.04,0.08,5,0.0231034482758621,0.1,20
"4",1,0.1,0.1,0,10,0.04,0.08,5,0.0296551724137931,0.1,20
"5",1,0.1,0.1,0,10,0.04,0.08,5,0.0362068965517241,0.1,20
"6",1,0.1,0.1,0,10,0.04,0.08,5,0.0427586206896552,0.1,20
"7",1,0.1,0.1,0,10,0.04,0.08,5,0.0493103448275862,0.1,20
"8",1,0.1,0.1,0,10,0.04,0.08,5,0.0558620689655172,0.1,20
"9",1,0.1,0.1,0,10,0.04,0.08,5,0.0624137931034483,0.1,20
"10",1,0.1,0.1,0,10,0.04,0.08,5,0.0689655172413793,0.1,20
"11",1,0.1,0.1,0,10,0.04,0.08,5,0.0755172413793103,0.1,20
"12",1,0.1,0.1,0,10,0.04,0.08,5,0.0820689655172414,0.1,20
"13",1,0.1,0.1,0,10,0.04,0.08,5,0.0886206896551724,0.1,20
"14",1,0.1,0.1,0,10,0.04,0.08,5,0.0951724137931034,0.1,20
"15",1,0.1,0.1,0,10,0.04,0.08,5,0.101724137931034,0.1,20
"16",1,0.1,0.1,0,10,0.04,0.08,5,0.108275862068966,0.1,20
"17",1,0.1,0.1,0,10,0.04,0.08,5,0.114827586206897,0.1,20
"18",1,0.1,0.1,0,10,0.04,0.08,5,0.121379310344828,0.1,20
"19",1,0.1,0.1,0,10,0.04,0.08,5,0.127931034482759,0.1,20
"20",1,0.1,0.1,0,10,0.04,0.08,5,0.13448275862069,0.1,20
"21",1,0.1,0.1,0,10,0.04,0.08,5,0.141034482758621,0.1,20
"22",1,0.1,0.1,0,10,0.04,0.08,5,0.147586206896552,0.1,20
"23",1,0.1,0.1,0,10,0.04,0.08,5,0.154137931034483,0.1,20
"24",1,0.1,0.1,0,10,0.04,0.08,5,0.160689655172414,0.1,20
"25",1,0.1,0.1,0,10,0.04,0.08,5,0.167241379310345,0.1,20
"26",1,0.1,0.1,0,10,0.04,0.08,5,0.173793103448276,0.1,20
"27",1,0.1,0.1,0,10,0.04,0.08,5,0.180344827586207,0.1,20
"28",1,0.1,0.1,0,10,0.04,0.08,5,0.186896551724138,0.1,20
"29",1,0.1,0.1,0,10,0.04,0.08,5,0.193448275862069,0.1,20
"30",1,0.1,0.1,0,10,0.04,0.08,5,0.2,0.1,20
"31",1,0.1,0.1,0,10,0.04,0.08,5,0.01,0.1,15.2631578947368
"32",1,0.1,0.1,0,10,0.04,0.08,5,0.016551724137931,0.1,15.2631578947368
"33",1,0.1,0.1,0,10,0.04,0.08,5,0.0231034482758621,0.1,15.2631578947368
